image,split,cr,actual_cr,sigma,seed,method,stage,psnr,ssim
coins,test,0.01,0.01031494140625,0.0,2026,admm,5,23.52316809550175,0.656805092996658
coins,test,0.01,0.01031494140625,0.0,2026,admm,6,23.652316198918555,0.6664754147890233
coins,test,0.04,0.041259765625,0.0,2026,hqs,1,23.995889195123365,0.6115442040410835
coins,test,0.04,0.041259765625,0.0,2026,hqs,2,25.802872960075696,0.7285587326942767
coins,test,0.04,0.041259765625,0.0,2026,hqs,3,26.903903386443417,0.7889278512679371
coins,test,0.04,0.041259765625,0.0,2026,hqs,4,27.394055083744625,0.8062156292084838
coins,test,0.04,0.041259765625,0.0,2026,hqs,5,27.589381838622053,0.8126242726339481
coins,test,0.04,0.041259765625,0.0,2026,hqs,6,27.635591607770152,0.8190503346626907
coins,test,0.04,0.041259765625,0.0,2026,admm,1,23.83881635955369,0.5998996400694051
coins,test,0.04,0.041259765625,0.0,2026,admm,2,26.12195693452715,0.7538991186460049
coins,test,0.04,0.041259765625,0.0,2026,admm,3,27.11216597465644,0.7992154813411003
coins,test,0.04,0.041259765625,0.0,2026,admm,4,27.439487675093886,0.8069686612021425
coins,test,0.04,0.041259765625,0.0,2026,admm,5,27.65582187522741,0.815488555999815
coins,test,0.04,0.041259765625,0.0,2026,admm,6,27.658214035984994,0.8181643739383258
coins,test,0.1,0.1001129150390625,0.0,2026,hqs,1,26.150948347821124,0.7150917148550022
coins,test,0.1,0.1001129150390625,0.0,2026,hqs,2,28.07982498056983,0.8150024957009293
